,library,function,line,file
514,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,218,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer.py
515,tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,222,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer.py
516,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,45,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_eager_test.py
517,tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,46,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_eager_test.py
518,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,74,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_eager_test.py
519,tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,75,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_eager_test.py
520,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,98,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_eager_test.py
521,tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,99,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_eager_test.py
522,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,47,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_keras.py
527,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,51,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py
528,tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,52,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py
529,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,80,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py
530,tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,81,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py
531,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,104,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py
532,tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,105,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py
533,tensorflow_privacy.privacy.optimizers.dp_optimizer.make_optimizer_class,dp_optimizer.make_optimizer_class,130,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py
534,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,146,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py
535,tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,147,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py
536,tensorflow_privacy.privacy.optimizers.dp_optimizer.DPGradientDescentOptimizer,dp_optimizer.DPGradientDescentOptimizer,148,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py
537,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,190,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py
538,tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,191,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py
539,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,245,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py
540,tensorflow_privacy.privacy.dp_query.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,272,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py
541,tensorflow_privacy.privacy.analysis.privacy_ledger.QueryWithLedger,privacy_ledger.QueryWithLedger,273,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py
542,tensorflow_privacy.privacy.optimizers.dp_optimizer.make_gaussian_optimizer_class,dp_optimizer.make_gaussian_optimizer_class,313,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py
543,tensorflow_privacy.privacy.optimizers.dp_optimizer.make_gaussian_optimizer_class,dp_optimizer.make_gaussian_optimizer_class,318,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_test.py
547,tensorflow_privacy.privacy.optimizers.dp_optimizer_vectorized.make_vectorized_optimizer_class,dp_optimizer_vectorized.make_vectorized_optimizer_class,116,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_vectorized_test.py
548,tensorflow_privacy.privacy.optimizers.dp_optimizer_vectorized.VectorizedDPSGD,VectorizedDPSGD,132,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tensorflow_privacy\privacy\optimizers\dp_optimizer_vectorized_test.py
549,tensorflow_privacy.privacy.bolt_on.models.BoltOnModel,models.BoltOnModel,21,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\bolton_tutorial.py
550,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexBinaryCrossentropy,losses.StrongConvexBinaryCrossentropy,26,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\bolton_tutorial.py
551,tensorflow_privacy.privacy.bolt_on.losses.StrongConvexBinaryCrossentropy,losses.StrongConvexBinaryCrossentropy,81,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\bolton_tutorial.py
552,tensorflow_privacy.privacy.bolt_on.optimizers.BoltOn,BoltOn,82,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\bolton_tutorial.py
554,tensorflow_privacy.privacy.analysis.privacy_ledger.PrivacyLedger,privacy_ledger.PrivacyLedger,82,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\lm_dpsgd_tutorial.py
555,tensorflow_privacy.privacy.optimizers.dp_optimizer.DPAdamGaussianOptimizer,dp_optimizer.DPAdamGaussianOptimizer,86,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\lm_dpsgd_tutorial.py
556,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,compute_rdp,152,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\lm_dpsgd_tutorial.py
557,tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,get_privacy_spent,157,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\lm_dpsgd_tutorial.py
558,tensorflow_privacy.privacy.optimizers.dp_optimizer.DPGradientDescentGaussianOptimizer,dp_optimizer.DPGradientDescentGaussianOptimizer,56,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\mnist_dpsgd_tutorial.py
559,tensorflow_privacy.privacy.analysis.compute_dp_sgd_privacy_lib.compute_dp_sgd_privacy,compute_dp_sgd_privacy_lib.compute_dp_sgd_privacy,119,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\mnist_dpsgd_tutorial.py
561,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,compute_rdp,39,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\mnist_dpsgd_tutorial_eager.py
562,tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,get_privacy_spent,44,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\mnist_dpsgd_tutorial_eager.py
563,tensorflow_privacy.privacy.optimizers.dp_optimizer.DPGradientDescentGaussianOptimizer,DPGradientDescentGaussianOptimizer,84,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\mnist_dpsgd_tutorial_eager.py
564,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,compute_rdp,41,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\mnist_dpsgd_tutorial_keras.py
565,tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,get_privacy_spent,46,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\mnist_dpsgd_tutorial_keras.py
566,tensorflow_privacy.privacy.optimizers.dp_optimizer_keras.DPKerasSGDOptimizer,DPKerasSGDOptimizer,102,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\mnist_dpsgd_tutorial_keras.py
567,tensorflow_privacy.privacy.optimizers.dp_optimizer.DPGradientDescentGaussianOptimizer,dp_optimizer.DPGradientDescentGaussianOptimizer,59,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\mnist_dpsgd_tutorial_tpu.py
568,tensorflow_privacy.privacy.analysis.compute_dp_sgd_privacy_lib.compute_dp_sgd_privacy,compute_dp_sgd_privacy_lib.compute_dp_sgd_privacy,143,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\mnist_dpsgd_tutorial_tpu.py
569,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,compute_rdp,46,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\mnist_dpsgd_tutorial_vectorized.py
570,tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,get_privacy_spent,51,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\mnist_dpsgd_tutorial_vectorized.py
572,tensorflow_privacy.privacy.optimizers.dp_optimizer_vectorized.VectorizedDPSGD,dp_optimizer_vectorized.VectorizedDPSGD,87,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\mnist_dpsgd_tutorial_vectorized.py
574,tensorflow_privacy.privacy.optimizers.dp_optimizer.DPGradientDescentGaussianOptimizer,dp_optimizer.DPGradientDescentGaussianOptimizer,66,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\mnist_lr_tutorial.py
575,tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,get_privacy_spent,159,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\mnist_lr_tutorial.py
576,tensorflow_privacy.privacy.analysis.rdp_accountant.compute_rdp,compute_rdp,164,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\mnist_lr_tutorial.py
577,tensorflow_privacy.privacy.analysis.rdp_accountant.get_privacy_spent,get_privacy_spent,166,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\mnist_lr_tutorial.py
580,tensorflow_privacy.privacy.optimizers.dp_optimizer.DPAdamGaussianOptimizer,dp_optimizer.DPAdamGaussianOptimizer,87,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\movielens_tutorial.py
581,tensorflow_privacy.privacy.analysis.gdp_accountant.compute_eps_poisson,compute_eps_poisson,198,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\movielens_tutorial.py
582,tensorflow_privacy.privacy.analysis.gdp_accountant.compute_mu_poisson,compute_mu_poisson,200,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\07_train\wip\privacy\tutorials\movielens_tutorial.py
605,privacy.analysis.rdp_accountant.compute_rdp,compute_rdp,22,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\07_Privacy_Differential.py
606,privacy.analysis.rdp_accountant.get_privacy_spent,get_privacy_spent,24,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\07_Privacy_Differential.py
608,privacy.optimizers.dp_optimizer.make_optimizer_class,dp_optimizer.make_optimizer_class,105,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\07_Privacy_Differential.py
609,privacy.analysis.rdp_accountant.compute_rdp,compute_rdp,190,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\07_Privacy_Differential.py
610,privacy.analysis.rdp_accountant.get_privacy_spent,get_privacy_spent,195,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\07_Privacy_Differential.py
611,privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,65,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py
612,privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,69,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py
613,privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,72,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py
614,privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,76,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py
615,privacy.analysis.rdp_accountant._compute_log_a,rdp_accountant._compute_log_a,98,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py
616,privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,104,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py
617,privacy.analysis.rdp_accountant.get_privacy_spent,rdp_accountant.get_privacy_spent,105,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py
618,privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,112,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py
619,privacy.analysis.rdp_accountant.get_privacy_spent,rdp_accountant.get_privacy_spent,113,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py
620,privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,122,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py
621,privacy.analysis.rdp_accountant.get_privacy_spent,rdp_accountant.get_privacy_spent,127,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py
622,privacy.analysis.rdp_accountant.compute_rdp,rdp_accountant.compute_rdp,130,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py
623,privacy.analysis.rdp_accountant.get_privacy_spent,rdp_accountant.get_privacy_spent,134,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\analysis\rdp_accountant_test.py
624,privacy.optimizers.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,30,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\dp_optimizer.py
626,privacy.optimizers.dp_optimizer.make_optimizer_class,dp_optimizer.make_optimizer_class,117,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\dp_optimizer_test.py
627,privacy.optimizers.dp_optimizer.DPGradientDescentOptimizer,dp_optimizer.DPGradientDescentOptimizer,132,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\dp_optimizer_test.py
629,privacy.optimizers.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,46,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\gaussian_query_test.py
630,privacy.optimizers.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,58,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\gaussian_query_test.py
631,privacy.optimizers.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,70,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\gaussian_query_test.py
632,privacy.optimizers.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,86,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\gaussian_query_test.py
633,privacy.optimizers.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,99,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\gaussian_query_test.py
634,privacy.optimizers.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,116,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\gaussian_query_test.py
635,privacy.optimizers.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,18,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py
636,privacy.optimizers.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,49,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py
637,privacy.optimizers.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,51,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py
638,privacy.optimizers.nested_query.NestedQuery,nested_query.NestedQuery,54,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py
639,privacy.optimizers.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,66,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py
640,privacy.optimizers.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,68,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py
641,privacy.optimizers.nested_query.NestedQuery,nested_query.NestedQuery,71,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py
642,privacy.optimizers.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,83,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py
643,privacy.optimizers.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,85,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py
644,privacy.optimizers.nested_query.NestedQuery,nested_query.NestedQuery,88,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py
645,privacy.optimizers.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,100,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py
646,privacy.optimizers.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,102,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py
647,privacy.optimizers.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,104,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py
648,privacy.optimizers.nested_query.NestedQuery,nested_query.NestedQuery,107,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py
649,privacy.optimizers.gaussian_query.GaussianSumQuery,gaussian_query.GaussianSumQuery,123,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py
650,privacy.optimizers.gaussian_query.GaussianAverageQuery,gaussian_query.GaussianAverageQuery,125,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py
651,privacy.optimizers.nested_query.NestedQuery,nested_query.NestedQuery,127,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py
652,privacy.optimizers.nested_query.NestedQuery,nested_query.NestedQuery,152,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\nested_query_test.py
653,privacy.optimizers.no_privacy_query.NoPrivacySumQuery,no_privacy_query.NoPrivacySumQuery,45,C:\Users\fpatr\PycharmProjects\Fairness-library-paper./data/clones\aws-ds-NLP-BERT\10_pipeline\kubeflow\wip\privacy\optimizers\no_privacy_query_test.py
